Id,Predicted
2025000,0.04
2025001,0.23
2025002,0.085
2025003,0.18
2025004,0.15
2025005,0.115
2025006,0.29
2025007,0.275
2025008,0.35
2025009,0.435
2025010,0.18
2025011,0.07
2025012,0.275
2025013,0.225
2025014,0.285
2025015,0.31
2025016,0.265
2025017,0.205
2025018,0.265
2025019,0.15
2025020,0.195
2025021,0.11
2025022,0.175
2025023,0.34
2025024,0.145
2025025,0.155
2025026,0.145
2025027,0.175
2025028,0.2
2025029,0.3
2025030,0.115
2025031,0.195
2025032,0.215
2025033,0.2
2025034,0.205
2025035,0.275
2025036,0.16
2025037,0.115
2025038,0.345
2025039,0.13
2025040,0.11
2025041,0.22
2025042,0.245
2025043,0.125
2025044,0.32
2025045,0.255
2025046,0.185
2025047,0.085
2025048,0.35
2025049,0.365
2025050,0.15
2025051,0.205
2025052,0.205
2025053,0.2
2025054,0.105
2025055,0.105
2025056,0.135
2025057,0.195
2025058,0.38
2025059,0.16
2025060,0.185
2025061,0.145
2025062,0.06
2025063,0.12
2025064,0.38
2025065,0.23
2025066,0.16
2025067,0.275
2025068,0.08
2025069,0.3
2025070,0.175
2025071,0.045
2025072,0.05
2025073,0.295
2025074,0.36
2025075,0.045
2025076,0.15
2025077,0.39
2025078,0.17
2025079,0.225
2025080,0.24
2025081,0.195
2025082,0.27
2025083,0.1
2025084,0.17
2025085,0.21
2025086,0.17
2025087,0.32
2025088,0.16
2025089,0.195
2025090,0.08
2025091,0.21
2025092,0.28
2025093,0.185
2025094,0.205
2025095,0.25
2025096,0.245
2025097,0.2
2025098,0.115
2025099,0.14
2025100,0.105
2025101,0.095
2025102,0.165
2025103,0.09
2025104,0.13
2025105,0.075
2025106,0.28
2025107,0.195
2025108,0.175
2025109,0.155
2025110,0.125
2025111,0.14
2025112,0.205
2025113,0.12
2025114,0.165
2025115,0.285
2025116,0.13
2025117,0.355
2025118,0.12
2025119,0.18
2025120,0.2
2025121,0.165
2025122,0.255
2025123,0.13
2025124,0.195
2025125,0.09
2025126,0.22
2025127,0.34
2025128,0.34
2025129,0.125
2025130,0.215
2025131,0.225
2025132,0.09
2025133,0.205
2025134,0.115
2025135,0.135
2025136,0.24
2025137,0.17
2025138,0.335
2025139,0.185
2025140,0.29
2025141,0.15
2025142,0.345
2025143,0.175
2025144,0.265
2025145,0.22
2025146,0.11
2025147,0.09
2025148,0.215
2025149,0.245
2025150,0.27
2025151,0.205
2025152,0.15
2025153,0.12
2025154,0.205
2025155,0.09
2025156,0.11
2025157,0.165
2025158,0.11
2025159,0.19
2025160,0.095
2025161,0.22
2025162,0.31
2025163,0.055
2025164,0.1
2025165,0.235
2025166,0.24
2025167,0.225
2025168,0.365
2025169,0.11
2025170,0.215
2025171,0.075
2025172,0.11
2025173,0.23
2025174,0.17
2025175,0.12
2025176,0.215
2025177,0.205
2025178,0.095
2025179,0.46
2025180,0.095
2025181,0.1
2025182,0.355
2025183,0.13
2025184,0.22
2025185,0.09
2025186,0.205
2025187,0.085
2025188,0.115
2025189,0.22
2025190,0.15
2025191,0.07
2025192,0.36
2025193,0.13
2025194,0.2
2025195,0.215
2025196,0.09
2025197,0.26
2025198,0.355
2025199,0.29
2025200,0.145
2025201,0.085
2025202,0.24
2025203,0.12
2025204,0.175
2025205,0.255
2025206,0.235
2025207,0.08
2025208,0.23
2025209,0.335
2025210,0.2
2025211,0.39
2025212,0.12
2025213,0.115
2025214,0.145
2025215,0.235
2025216,0.46
2025217,0.115
2025218,0.315
2025219,0.19
2025220,0.255
2025221,0.18
2025222,0.265
2025223,0.405
2025224,0.315
2025225,0.19
2025226,0.21
2025227,0.125
2025228,0.07
2025229,0.1
2025230,0.16
2025231,0.195
2025232,0.2
2025233,0.14
2025234,0.275
2025235,0.255
2025236,0.13
2025237,0.17
2025238,0.235
2025239,0.14
2025240,0.22
2025241,0.18
2025242,0.295
2025243,0.22
2025244,0.095
2025245,0.135
2025246,0.265
2025247,0.19
2025248,0.25
2025249,0.09
2025250,0.19
2025251,0.26
2025252,0.12
2025253,0.23
2025254,0.175
2025255,0.075
2025256,0.15
2025257,0.21
2025258,0.12
2025259,0.135
2025260,0.21
2025261,0.23
2025262,0.26
2025263,0.37
2025264,0.195
2025265,0.14
2025266,0.13
2025267,0.155
2025268,0.105
2025269,0.15
2025270,0.075
2025271,0.18
2025272,0.3
2025273,0.26
2025274,0.115
2025275,0.455
2025276,0.235
2025277,0.24
2025278,0.17
2025279,0.21
2025280,0.175
2025281,0.2
2025282,0.315
2025283,0.26
2025284,0.29
2025285,0.095
2025286,0.23
2025287,0.16
2025288,0.4
2025289,0.265
2025290,0.265
2025291,0.22
2025292,0.16
2025293,0.14
2025294,0.18
2025295,0.2
2025296,0.06
2025297,0.165
2025298,0.365
2025299,0.195
2025300,0.265
2025301,0.15
2025302,0.13
2025303,0.205
2025304,0.295
2025305,0.155
2025306,0.235
2025307,0.14
2025308,0.18
2025309,0.295
2025310,0.195
2025311,0.17
2025312,0.35
2025313,0.215
2025314,0.175
2025315,0.305
2025316,0.125
