Id,Predicted
2025000,0.11983048
2025001,0.18584225
2025002,0.09185154
2025003,0.103159614
2025004,0.22141743
2025005,0.13405055
2025006,0.38957044
2025007,0.29286003
2025008,0.1387686
2025009,0.5194129
2025010,0.24885094
2025011,0.12335258
2025012,0.24122478
2025013,0.39906842
2025014,0.15427947
2025015,0.22325596
2025016,0.11700003
2025017,0.16162662
2025018,0.26250955
2025019,0.1108444
2025020,0.11190878
2025021,0.116533644
2025022,0.21395923
2025023,0.35348168
2025024,0.20535071
2025025,0.15315196
2025026,0.1152099
2025027,0.053450603
2025028,0.11174183
2025029,0.26458964
2025030,0.101943225
2025031,0.1445296
2025032,0.3505364
2025033,0.21025534
2025034,0.22960539
2025035,0.24745722
2025036,0.09467482
2025037,0.1285694
2025038,0.28509453
2025039,0.09846488
2025040,0.065205865
2025041,0.08657221
2025042,0.19366947
2025043,0.16711177
2025044,0.18053922
2025045,0.22190744
2025046,0.34960058
2025047,0.115483694
2025048,0.14912094
2025049,0.3821899
2025050,0.079578
2025051,0.093757644
2025052,0.17645164
2025053,0.22570492
2025054,0.108382635
2025055,0.09449419
2025056,0.18400048
2025057,0.14687581
2025058,0.31452835
2025059,0.086459644
2025060,0.23003651
2025061,0.069810346
2025062,0.20526518
2025063,0.05437836
2025064,0.18034783
2025065,0.16090186
2025066,0.19171125
2025067,0.2633206
2025068,0.0766772
2025069,0.47925612
2025070,0.14280887
2025071,0.11332801
2025072,0.043273907
2025073,0.07046252
2025074,0.31086102
2025075,0.13941282
2025076,0.089040704
2025077,0.20773526
2025078,0.18932487
2025079,0.33819774
2025080,0.21823746
2025081,0.06520798
2025082,0.23315693
2025083,0.090827525
2025084,0.1962533
2025085,0.1743338
2025086,0.14797884
2025087,0.37890548
2025088,0.13952632
2025089,0.15321201
2025090,0.20923257
2025091,0.24831846
2025092,0.2645984
2025093,0.175998
2025094,0.19744587
2025095,0.2447389
2025096,0.24011031
2025097,0.09071301
2025098,0.09908031
2025099,0.16679943
2025100,0.08168464
2025101,0.21363603
2025102,0.19001679
2025103,0.11258967
2025104,0.12052286
2025105,0.15086192
2025106,0.17716737
2025107,0.102056876
