Id,Predicted
2025000,0.17639743
2025001,0.17129363
2025002,0.069830135
2025003,0.24390922
2025004,0.33757615
2025005,0.10422205
2025006,0.42533034
2025007,0.45527157
2025008,0.16320075
2025009,0.61330867
2025010,0.26726452
2025011,0.13314742
2025012,0.31570134
2025013,0.47381327
2025014,0.12912288
2025015,0.2340469
2025016,0.12920797
2025017,0.19376248
2025018,0.22946274
2025019,0.12944895
2025020,0.19472931
2025021,0.08879365
2025022,0.21343929
2025023,0.5345776
2025024,0.16947782
2025025,0.15644765
2025026,0.21350561
2025027,0.053142432
2025028,0.16452877
2025029,0.22828181
2025030,0.09877651
2025031,0.1164816
2025032,0.40948015
2025033,0.17655428
2025034,0.31163606
2025035,0.19432627
2025036,0.085500665
2025037,0.11628804
2025038,0.40357482
2025039,0.07148813
2025040,0.049271386
2025041,0.047366332
2025042,0.14096615
2025043,0.14298038
2025044,0.19202103
2025045,0.22493416
2025046,0.15237723
2025047,0.17918925
2025048,0.21593435
2025049,0.2680808
2025050,0.07406038
2025051,0.084445976
2025052,0.15177631
2025053,0.2215119
2025054,0.104859404
2025055,0.104882754
2025056,0.21306355
2025057,0.2000554
2025058,0.250927
2025059,0.11268649
2025060,0.3007763
2025061,0.07289416
2025062,0.18395731
2025063,0.0936127
2025064,0.1796057
2025065,0.26851988
2025066,0.3012932
2025067,0.30191243
2025068,0.11953376
2025069,0.4878796
2025070,0.07461344
2025071,0.11970069
2025072,0.05671396
2025073,0.11254922
2025074,0.3139859
2025075,0.14347713
2025076,0.12722561
2025077,0.1638248
2025078,0.12267786
2025079,0.31063437
2025080,0.24308836
2025081,0.08524629
2025082,0.2555014
2025083,0.14296125
2025084,0.1851855
2025085,0.15589817
2025086,0.18718618
2025087,0.45044497
2025088,0.16257955
2025089,0.18297845
2025090,0.21217164
2025091,0.31822053
2025092,0.24431078
2025093,0.1523015
2025094,0.121435165
2025095,0.22845703
2025096,0.2516421
2025097,0.14974594
2025098,0.035130214
2025099,0.20457347
2025100,0.06407522
2025101,0.2130447
2025102,0.20082296
2025103,0.1215179
2025104,0.10388361
2025105,0.16626225
2025106,0.1613704
2025107,0.09433369
2025108,0.17392725
2025109,0.22519577
2025110,0.28329057
2025111,0.14300889
2025112,0.33120567
2025113,0.06488768
2025114,0.26099387
2025115,0.293398
2025116,0.109520786
2025117,0.35412687
2025118,0.16828781
2025119,0.14542456
2025120,0.15979627
2025121,0.34318605
2025122,0.3912064
2025123,0.08937736
2025124,0.21272647
2025125,0.11128755
2025126,0.1781361
2025127,0.44943216
2025128,0.31237757
2025129,0.09548219
2025130,0.1273115
2025131,0.18878777
2025132,0.1172992
2025133,0.1629733
2025134,0.095650084
2025135,0.23521015
2025136,0.13563474
2025137,0.08921225
2025138,0.1211533
2025139,0.3891648
2025140,0.2610533
2025141,0.09858992
2025142,0.23562637
2025143,0.25151005
2025144,0.10395347
2025145,0.21192351
2025146,0.089516684
2025147,0.13196583
2025148,0.23426385
2025149,0.17744793
2025150,0.17833026
2025151,0.075490706
2025152,0.21373822
2025153,0.16626883
2025154,0.2377036
2025155,0.2019201
2025156,0.10355956
2025157,0.13612658
2025158,0.11543627
2025159,0.12814279
2025160,0.15753105
2025161,0.29308334
2025162,0.21286781
2025163,0.111409955
2025164,0.20038599
2025165,0.1069629
2025166,0.22345239
2025167,0.070106536
2025168,0.3715816
2025169,0.17914161
2025170,0.09706225
2025171,0.06552417
2025172,0.07224739
2025173,0.28100938
2025174,0.21830216
2025175,0.054359205
2025176,0.21055403
2025177,0.2341248
2025178,0.09067479
2025179,0.19426118
2025180,0.29987127
2025181,0.19541977
2025182,0.15237142
2025183,0.0564558
2025184,0.16085935
2025185,0.20519641
2025186,0.2507045
2025187,0.099965945
2025188,0.22954705
2025189,0.18833002
2025190,0.17713958
2025191,0.21435307
2025192,0.34519833
2025193,0.2794817
2025194,0.13304202
2025195,0.33095065
2025196,0.13669153
2025197,0.1338541
2025198,0.291939
2025199,0.3450033
2025200,0.11204622
2025201,0.092556894
2025202,0.18552783
2025203,0.086196
2025204,0.14800933
2025205,0.25642174
2025206,0.15485889
2025207,0.18452539
2025208,0.100207575
2025209,0.10151368
2025210,0.27333912
2025211,0.3473122
2025212,0.12485111
2025213,0.20548564
2025214,0.10609981
2025215,0.15248261
2025216,0.20830189
2025217,0.106072344
2025218,0.16258396
2025219,0.27078268
2025220,0.16403131
2025221,0.22589162
2025222,0.2372862
2025223,0.33215308
2025224,0.35468763
2025225,0.29689485
2025226,0.28308034
2025227,0.16740002
2025228,0.14353117
2025229,0.13552113
2025230,0.09940791
2025231,0.6153322
2025232,0.120289765
2025233,0.40561256
2025234,0.18956636
2025235,0.11382165
2025236,0.14403445
2025237,0.086104296
2025238,0.1494983
2025239,0.17424546
2025240,0.122501545
2025241,0.12343481
2025242,0.2867416
2025243,0.120992035
2025244,0.12541613
2025245,0.15810558
2025246,0.23044167
2025247,0.22252995
2025248,0.20302339
2025249,0.1615486
2025250,0.16520002
2025251,0.2546622
2025252,0.1556649
2025253,0.40534252
2025254,0.11374954
2025255,0.078682855
2025256,0.20767406
2025257,0.06560321
2025258,0.13678907
2025259,0.08646697
2025260,0.061687488
2025261,0.12151957
2025262,0.28737637
2025263,0.13038574
2025264,0.102521226
2025265,0.10398193
2025266,0.19689459
2025267,0.13313584
2025268,0.41397846
2025269,0.15577453
2025270,0.1143671
2025271,0.19701363
2025272,0.13134621
2025273,0.21826108
2025274,0.14546198
2025275,0.31588826
2025276,0.11733621
2025277,0.0793662
2025278,0.13996546
2025279,0.19657479
2025280,0.1498052
2025281,0.102376506
2025282,0.3634603
2025283,0.35224816
2025284,0.2545077
2025285,0.15185416
2025286,0.23265767
2025287,0.12506747
2025288,0.46364078
2025289,0.13066073
2025290,0.11088296
2025291,0.2660493
2025292,0.096806146
2025293,0.24171788
2025294,0.19373098
2025295,0.08062458
2025296,0.1274787
2025297,0.22355035
2025298,0.13025375
2025299,0.057854217
2025300,0.14145763
2025301,0.11578359
2025302,0.079681285
2025303,0.16519612
2025304,0.3218338
2025305,0.29035917
2025306,0.15047973
2025307,0.1532908
2025308,0.098877825
2025309,0.23017411
2025310,0.08073015
2025311,0.13014951
2025312,0.27608696
2025313,0.09974793
2025314,0.1347188
2025315,0.277014
2025316,0.12155362
2025317,0.15322433
2025318,0.21750216
2025319,0.08432318
2025320,0.1686318
2025321,0.17373791
2025322,0.0607409
2025323,0.20671579
2025324,0.18427318
2025325,0.107059024
2025326,0.14410345
2025327,0.39076728
2025328,0.14565793
2025329,0.12548581
2025330,0.06450711
2025331,0.15768869
2025332,0.18022732
2025333,0.089722276
2025334,0.0896746
2025335,0.12407512
2025336,0.15681845
2025337,0.1541095
2025338,0.070677504
2025339,0.2509801
2025340,0.14364539
2025341,0.22784239
2025342,0.101023234
2025343,0.28104034
2025344,0.34041536
2025345,0.12179388
2025346,0.123537086
2025347,0.12502292
2025348,0.16521476
2025349,0.22650687
2025350,0.16984493
2025351,0.09682397
2025352,0.13357064
2025353,0.15222871
2025354,0.34652245
2025355,0.121899575
2025356,0.45715103
2025357,0.17046075
2025358,0.22714616
2025359,0.34028876
2025360,0.077702194
2025361,0.12900871
2025362,0.2687239
2025363,0.18268932
2025364,0.19121736
2025365,0.17339844
2025366,0.16034882
2025367,0.11529305
2025368,0.10737197
2025369,0.16273615
2025370,0.17761841
2025371,0.35176113
2025372,0.13151182
2025373,0.18657182
2025374,0.23523073
2025375,0.11478658
2025376,0.64670587
2025377,0.097057395
2025378,0.19719356
2025379,0.2748951
2025380,0.09389555
2025381,0.05631308
2025382,0.46602178
2025383,0.045056872
2025384,0.15952875
2025385,0.19612145
2025386,0.26363668
2025387,0.09431962
2025388,0.24028131
2025389,0.27955487
2025390,0.33965823
2025391,0.17269562
2025392,0.07416219
2025393,0.10287116
2025394,0.19065191
2025395,0.13091795
2025396,0.3670348
2025397,0.25390512
2025398,0.37259862
2025399,0.5500052
2025400,0.075271405
2025401,0.2331162
2025402,0.22481127
2025403,0.12653087
2025404,0.10991619
2025405,0.14432901
2025406,0.19071202
2025407,0.21753204
2025408,0.2770193
2025409,0.2299873
2025410,0.15260513
2025411,0.16328657
2025412,0.08076012
2025413,0.24385613
2025414,0.09422465
2025415,0.10192784
2025416,0.3380735
2025417,0.20736742
2025418,0.19425632
2025419,0.22140576
2025420,0.16909863
2025421,0.13388701
2025422,0.23095019
2025423,0.24972369
2025424,0.16821626
2025425,0.0958203
2025426,0.14940643
2025427,0.2174254
2025428,0.31177467
2025429,0.12716013
2025430,0.36697346
2025431,0.3925643
2025432,0.22485192
2025433,0.32942644
2025434,0.25687218
2025435,0.39672098
2025436,0.31649864
2025437,0.44490552
2025438,0.14973892
2025439,0.16239513
2025440,0.12468191
2025441,0.1252184
2025442,0.123406544
2025443,0.19141495
2025444,0.20466077
2025445,0.23039193
2025446,0.28964803
2025447,0.13663322
2025448,0.102590084
2025449,0.6447788
2025450,0.5579978
2025451,0.28788933
2025452,0.40157756
2025453,0.1289894
2025454,0.090482906
2025455,0.3871029
2025456,0.1969756
2025457,0.17998627
2025458,0.271903
2025459,0.18268813
2025460,0.1601295
2025461,0.1840574
2025462,0.18172108
2025463,0.19007994
2025464,0.08436155
2025465,0.14731865
2025466,0.13628551
2025467,0.1602665
2025468,0.23197748
2025469,0.039684154
2025470,0.07942474
2025471,0.15929401
2025472,0.45160228
2025473,0.11919437
2025474,0.28242758
2025475,0.34578368
2025476,0.16095278
2025477,0.22839011
2025478,0.32785803
2025479,0.14668594
2025480,0.15441377
2025481,0.072210014
2025482,0.12479678
2025483,0.3165617
2025484,0.18735269
2025485,0.23407549
2025486,0.11520309
2025487,0.3148469
2025488,0.17801264
2025489,0.20070066
2025490,0.24523923
2025491,0.47795394
2025492,0.25200605
2025493,0.338767
2025494,0.22416942
2025495,0.097265854
2025496,0.32708842
2025497,0.2401376
2025498,0.45882797
2025499,0.2933258
2025500,0.24869926
2025501,0.27070162
2025502,0.07120241
2025503,0.45920137
2025504,0.41649917
2025505,0.21708277
2025506,0.17914212
2025507,0.20215991
2025508,0.13231774
2025509,0.20173061
2025510,0.13377076
2025511,0.47514838
2025512,0.24581662
2025513,0.1778968
2025514,0.15142259
2025515,0.118534945
2025516,0.103151955
2025517,0.144434
2025518,0.12209069
2025519,0.17247319
2025520,0.3548388
2025521,0.25125834
2025522,0.19214563
2025523,0.20755099
2025524,0.23518738
2025525,0.2146883
2025526,0.14115638
2025527,0.4385957
2025528,0.18352024
2025529,0.22730628
2025530,0.15859199
2025531,0.42604613
2025532,0.18061145
2025533,0.1911056
2025534,0.12448732
2025535,0.29162464
2025536,0.14631613
2025537,0.15658751
2025538,0.10042402
2025539,0.25131533
2025540,0.26244375
2025541,0.19740126
2025542,0.29674187
2025543,0.29208753
2025544,0.26465562
2025545,0.21080722
2025546,0.18709373
2025547,0.21536225
2025548,0.20163803
2025549,0.20481656
2025550,0.2331589
2025551,0.20792527
2025552,0.31728074
2025553,0.593041
2025554,0.72848004
2025555,0.16442046
2025556,0.402506
2025557,0.18517737
2025558,0.2163212
2025559,0.13353413
2025560,0.14587906
2025561,0.24643627
2025562,0.30583233
2025563,0.33765826
2025564,0.25667298
2025565,0.10143471
2025566,0.112518154
2025567,0.3279634
2025568,0.34754956
2025569,0.37267047
2025570,0.2236985
2025571,0.33459905
2025572,0.15915258
2025573,0.10350418
2025574,0.35163078
2025575,0.14181414
2025576,0.14967987
2025577,0.112748094
2025578,0.3199439
2025579,0.16573508
2025580,0.25953895
2025581,0.17880285
2025582,0.13251047
2025583,0.26390657
2025584,0.16684312
2025585,0.19768144
2025586,0.12930888
2025587,0.29258254
2025588,0.184422
2025589,0.17152953
2025590,0.14916606
2025591,0.18527451
2025592,0.07929693
2025593,0.282606
2025594,0.17726761
2025595,0.112861365
2025596,0.071171544
2025597,0.45290506
2025598,0.27259496
2025599,0.3639106
2025600,0.20951302
2025601,0.102657616
2025602,0.16057311
2025603,0.121012785
