Id,Predicted
2025000,0.1608149
2025001,0.24303709
2025002,0.19843805
2025003,0.13661565
2025004,0.20072359
2025005,0.1301227
2025006,0.2543864
2025007,0.19133957
2025008,0.13473754
2025009,0.29279193
2025010,0.14606924
2025011,0.08958753
2025012,0.184781
2025013,0.27665907
2025014,0.4106953
2025015,0.2441158
2025016,0.16682333
2025017,0.14148542
2025018,0.22219294
2025019,0.10299082
2025020,0.13474086
2025021,0.092652604
2025022,0.13828902
2025023,0.3611083
2025024,0.21005979
2025025,0.1526086
2025026,0.17248476
2025027,0.17978166
2025028,0.17091513
2025029,0.17176238
2025030,0.14670332
2025031,0.22378762
2025032,0.15697515
2025033,0.19223079
2025034,0.1627093
2025035,0.46460825
2025036,0.22011179
2025037,0.20385078
2025038,0.4214556
2025039,0.10416059
2025040,0.09317195
2025041,0.06659265
2025042,0.14022036
2025043,0.1497462
2025044,0.14154479
2025045,0.29863414
2025046,0.27755323
2025047,0.08838122
2025048,0.4550645
2025049,0.33617014
2025050,0.06537377
2025051,0.11912222
2025052,0.12691763
2025053,0.065511614
2025054,0.18051928
2025055,0.08354008
2025056,0.15127084
2025057,0.10720624
2025058,0.26417696
2025059,0.16226843
2025060,0.27565575
2025061,0.10031182
2025062,0.17171802
2025063,0.07457886
2025064,0.19939013
2025065,0.21596034
2025066,0.14056417
2025067,0.16612588
2025068,0.086006515
2025069,0.14585711
2025070,0.1604114
2025071,0.12011871
2025072,0.06540771
2025073,0.21775837
2025074,0.16844054
2025075,0.06552417
2025076,0.17488906
2025077,0.26115274
2025078,0.21458451
2025079,0.24520104
2025080,0.2935018
2025081,0.1318177
2025082,0.14434636
2025083,0.10560723
2025084,0.14369418
2025085,0.126284
2025086,0.19957343
2025087,0.19661102
2025088,0.1470747
2025089,0.26074737
2025090,0.14397454
2025091,0.25621837
2025092,0.2379048
2025093,0.16168766
2025094,0.22628023
2025095,0.24988687
2025096,0.2084114
2025097,0.18376994
2025098,0.07238177
2025099,0.46460825
2025100,0.06554404
2025101,0.13385056
2025102,0.14824663
2025103,0.16480543
2025104,0.08202209
2025105,0.18383369
2025106,0.15857755
2025107,0.17935619
2025108,0.08478467
2025109,0.09624579
2025110,0.21051617
2025111,0.16651201
2025112,0.22825335
2025113,0.11305292
2025114,0.1683375
2025115,0.30287954
2025116,0.15943581
2025117,0.16618854
2025118,0.13509695
2025119,0.18009284
2025120,0.1517785
2025121,0.1353569
2025122,0.21645023
2025123,0.12475562
2025124,0.18528028
2025125,0.11067142
2025126,0.19722264
2025127,0.22535643
2025128,0.2822291
2025129,0.16610125
2025130,0.13532016
2025131,0.21626861
2025132,0.09412107
2025133,0.17528677
2025134,0.06547285
2025135,0.11302572
2025136,0.30468574
2025137,0.09124438
2025138,0.31011182
2025139,0.1434352
2025140,0.25184467
2025141,0.08518593
2025142,0.10498942
2025143,0.2740533
2025144,0.23572479
2025145,0.13002126
2025146,0.06544159
2025147,0.12332741
2025148,0.18453203
2025149,0.19855008
2025150,0.111692965
2025151,0.15592524
2025152,0.2587976
2025153,0.08426604
2025154,0.12715662
2025155,0.19216074
2025156,0.08283429
2025157,0.114705354
2025158,0.1618788
2025159,0.20792253
2025160,0.09027374
2025161,0.26256636
2025162,0.37009352
2025163,0.11455235
2025164,0.10475457
2025165,0.1659841
2025166,0.24693601
2025167,0.19038326
2025168,0.38976893
2025169,0.08488175
2025170,0.10925959
2025171,0.065476835
2025172,0.084348574
2025173,0.28396323
2025174,0.20934711
2025175,0.07340027
2025176,0.16487722
2025177,0.24089731
2025178,0.069508426
2025179,0.28387946
2025180,0.14190398
2025181,0.16458783
2025182,0.15258476
2025183,0.08324617
2025184,0.090181425
2025185,0.12106465
2025186,0.2063436
2025187,0.081898905
2025188,0.16207516
2025189,0.14032644
2025190,0.23763496
2025191,0.13922258
2025192,0.27697697
2025193,0.09972417
2025194,0.189082
2025195,0.26954502
2025196,0.13153504
2025197,0.19504152
2025198,0.3405538
2025199,0.35736594
2025200,0.08733966
2025201,0.08524642
2025202,0.114383005
2025203,0.22945864
2025204,0.17893006
2025205,0.16920203
2025206,0.13513951
2025207,0.14041595
2025208,0.14650778
2025209,0.14784767
2025210,0.23167641
2025211,0.31996226
2025212,0.09996372
2025213,0.14270905
2025214,0.10450475
2025215,0.18188171
2025216,0.3371862
2025217,0.09326677
2025218,0.28427088
2025219,0.27355397
2025220,0.1374312
2025221,0.22001605
2025222,0.13179581
2025223,0.34483287
2025224,0.2789445
2025225,0.1936094
2025226,0.12787361
2025227,0.08790376
2025228,0.11571807
2025229,0.13991837
2025230,0.1548814
2025231,0.27823648
2025232,0.2603408
2025233,0.2635694
2025234,0.2906316
2025235,0.1546222
2025236,0.15224595
2025237,0.14271666
2025238,0.14729933
2025239,0.18999377
2025240,0.1832804
2025241,0.2724643
2025242,0.24512151
2025243,0.23781726
2025244,0.070754714
2025245,0.20137964
2025246,0.16100377
2025247,0.18672842
2025248,0.3800144
2025249,0.08699632
2025250,0.21650426
2025251,0.12541953
2025252,0.14854585
2025253,0.19988592
2025254,0.1582123
2025255,0.16911161
2025256,0.14490065
2025257,0.0953291
2025258,0.13834794
2025259,0.1166843
2025260,0.110941604
2025261,0.1800735
2025262,0.1531714
2025263,0.29262984
2025264,0.22687125
2025265,0.14400151
2025266,0.30173677
2025267,0.06561621
2025268,0.1816417
2025269,0.08906864
2025270,0.11457878
2025271,0.24227212
2025272,0.35169283
2025273,0.13451281
2025274,0.08488793
2025275,0.34224293
2025276,0.103459515
2025277,0.14301187
2025278,0.12758993
2025279,0.18265553
2025280,0.09967996
2025281,0.12139778
2025282,0.08519027
2025283,0.2736612
2025284,0.20312764
2025285,0.09440597
2025286,0.22089137
2025287,0.06549062
2025288,0.37049076
2025289,0.23804255
2025290,0.08361355
